id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
70820,City View - Sarah's double room.,360195,Sarah,,Windmill Hill,51.43994,-2.59173,Private room,28,7,138,2019-05-03,2.03,5,59
117122,City Centre-Waterside Retreat,591555,Marcus,,Clifton,51.45051,-2.61054,Private room,65,1,131,2019-03-17,1.37,1,356
146407,Sunny Central Artist Cottage (Dbl),708175,Orla,,Southville,51.44131,-2.60271,Private room,38,2,65,2019-04-28,0.80,2,23
176306,The White Room -  Central Bristol Art House Garden,708175,Orla,,Bedminster,51.44101,-2.60121,Private room,35,2,33,2019-02-09,0.42,2,67
220956,"Light, Modern, 1st Floor Apartment.",1145941,Stephen,,Bedminster,51.43852,-2.60142,Entire home/apt,59,2,81,2019-05-12,0.87,1,120
307634,Peaceful Safe Home & Clear Space 'The Lilac Room',1582810,Wendy,,Easton,51.46641,-2.55533,Private room,28,3,16,2019-05-06,0.67,2,176
322906,HUGE Room CENTRAL location House,1156132,Sue And Toby,,Ashley,51.46668,-2.58274,Private room,65,2,80,2018-09-30,1.13,2,88
341227,Magical Listed Georgian townhouse,237360,Samantha,,Ashley,51.46661,-2.58709,Entire home/apt,250,2,49,2019-05-12,0.57,4,348
389942,Sunny retreat with ensuite,1950884,Sonia,,Redland,51.47926,-2.59108,Private room,50,2,57,2018-08-12,0.66,5,30
389944,Spacious Cosy Room,1950884,Sonia,,Redland,51.47971,-2.59149,Private room,32,2,101,2019-02-21,1.17,5,21
391612,Central Cosy Double Room House1,1958566,Carmen,,Ashley,51.46487,-2.57989,Private room,32,2,15,2015-08-13,0.17,2,0
391613,Single Central Bristol Room House 1,1958566,Carmen,,Ashley,51.46499,-2.57826,Private room,25,2,49,2015-12-06,0.56,2,142
392215,"home from home, large double, light",1961385,Bea,,Brislington East,51.44111,-2.53683,Private room,18,10,23,2018-01-31,0.26,3,199
392217,"home from home, lovely single room",1961385,Bea,,Brislington East,51.44293,-2.53778,Private room,17,10,15,2019-04-30,0.22,3,131
399681,Historic Trym House - five star!,1941316,Kevin & Lesley,,Westbury-on-Trym & Henleaze,51.49508,-2.61715,Private room,70,2,53,2018-10-10,0.64,1,40
407485,Bristol Luxury Garden Apartment,2029719,Ingrid,,Ashley,51.4692,-2.5819,Entire home/apt,98,2,230,2019-05-12,2.68,1,352
421205,The dog lovers haven,2094659,Lis,,Ashley,51.46465,-2.58367,Private room,28,1,118,2019-05-16,1.42,1,240
422956,Modern inner city 3 bed eco house,2103297,Lois,,Redland,51.47331,-2.60598,Entire home/apt,180,2,285,2019-05-06,3.32,2,300
554813,Central Double Room With Your Own Bathroom,2727252,Rich & Ray,,Lawrence Hill,51.45618,-2.57738,Private room,36,1,147,2019-04-22,1.75,1,46
559177,Modern city centre loft style,2736590,Jamie,,Central,51.45036,-2.58938,Entire home/apt,80,30,19,2019-04-07,0.23,2,280
664979,"Exclusive use of caravan, & parking",1949283,Catherine,,Eastville,51.47134,-2.53487,Entire home/apt,24,2,104,2018-03-30,1.40,1,136
676106,Unique Dbl Loft space nr station,683638,Helen,,Windmill Hill,51.44192,-2.57073,Private room,30,1,464,2019-04-03,5.78,2,356
688324,"The Green Room, Comfy Double in St Werburghs",3514043,Natasha,,Ashley,51.46974,-2.57565,Private room,28,2,249,2018-11-19,3.07,2,0
753655,Edwardian house in central Bristol,3647954,Cath,,Southville,51.44553,-2.60413,Private room,50,1,240,2019-05-12,3.09,2,343
758894,"Luxury Clifton Village, internet, parking permits",3996407,Joanna,,Clifton,51.45443,-2.62066,Entire home/apt,90,2,314,2019-05-10,3.96,1,320
774471,Lovely Single B/Rm-Central Location,4086056,Lilian,,Hotwells & Harbourside,51.45207,-2.60724,Private room,35,1,404,2019-05-16,5.27,2,155
787688,"Entire quirky flat, amazing views",683638,Helen,,Windmill Hill,51.44062,-2.5723,Entire home/apt,68,3,3,2015-04-13,0.05,2,0
828102,Charming Room in Victorian Terrace,4341765,Patricia,,St George West,51.45969,-2.54104,Private room,26,2,77,2019-04-22,1.11,4,309
832235,Luxury Double En Suite Bedroom,4356624,Claire,,Southville,51.44201,-2.61939,Private room,55,1,90,2019-05-12,1.83,1,293
838106,Big double room ensuite bathroom,4379169,Sarah,,Redland,51.47079,-2.59645,Private room,55,2,199,2019-04-11,2.60,2,56
853819,peaceful short term home,4474160,Sarah,,Ashley,51.46963,-2.58088,Private room,62,21,0,,,1,365
868888,Large double room with breakfast,4577089,Rohan,,Eastville,51.47278,-2.54713,Private room,21,20,4,2018-10-31,0.29,2,354
870076,Cosy Single Bedroom in Southville,3647954,Cath,,Southville,51.44593,-2.60309,Private room,39,1,136,2019-05-09,1.79,2,335
897555,Cosy nicely lit room in Bedminster,3271882,Gwen,,Southville,51.44161,-2.59864,Private room,27,2,130,2019-03-25,1.69,2,288
907928,Georgian maisonette nr Stokes Croft,2689636,Katie And James,,Ashley,51.46619,-2.58479,Private room,28,2,220,2019-03-08,2.88,1,37
942226,BnB in Barn with 2 ensuite Bedrooms,2103297,Lois,,Redland,51.47513,-2.60474,Entire home/apt,120,2,184,2019-05-11,2.58,2,272
975170,Double room in quiet LGBTQ friendly home,5332833,Ashley,,Eastville,51.48256,-2.5546,Private room,28,2,93,2019-03-23,1.24,2,77
979236,large ensuite with seating area,1156132,Sue And Toby,,Ashley,51.46665,-2.58284,Private room,64,1,161,2019-02-24,2.51,2,88
995235,Clifton Towers Bristol B and B ,5466703,Marie,,Clifton,51.45308,-2.61544,Private room,40,1,192,2019-05-08,2.85,1,309
996270,Cosy Room in Victorian Terrace,4341765,Patricia,,St George Central,51.45977,-2.53908,Private room,22,2,27,2019-04-14,0.48,4,302
1033484,Tranquil Room near City Centre,5687726,Joanne,,Ashley,51.46307,-2.57982,Private room,33,1,284,2019-04-30,3.83,2,261
1058698,Ace Attic room in Victorian Terrace,4341765,Patricia,,St George West,51.4599,-2.54102,Private room,29,2,23,2019-03-06,1.06,4,287
1096853,"Lovely quiet, clean, Double Bed+Single, with tv",487598,Maggie,,Easton,51.46907,-2.56077,Private room,32,1,348,2019-05-10,4.80,4,74
1096947,"Lovely quiet, clean, cosy room, Double Bed, tv",487598,Maggie,,Easton,51.46922,-2.56105,Private room,29,1,294,2019-03-28,4.07,4,75
1166104,Private room in ‘Garden Square' Georgian townhouse,6386989,Anne + Iain,,Hotwells & Harbourside,51.45052,-2.62055,Private room,37,2,59,2019-04-28,0.82,2,294
1194755,Colourful Victorian House with Siamese cats,1950884,Sonia,,Redland,51.47905,-2.59016,Entire home/apt,160,1,12,2018-11-04,0.21,5,4
1258955,Small double room in Bedminster,3271882,Gwen,,Southville,51.4402,-2.59772,Private room,33,2,76,2019-04-15,1.06,2,287
1260621,An Old Jewellers in Montpelier,6865698,Kirsty,,Ashley,51.46465,-2.58947,Private room,28,1,173,2019-05-12,2.61,2,319
1306288,"A quiet, private, modern apartment with balcony",7102048,Robert,,Ashley,51.45954,-2.58671,Entire home/apt,85,3,42,2019-01-03,0.59,7,338
1329265,"Excellent central location, perfect for visitors",7144675,Stephanie,,Lawrence Hill,51.45952,-2.57379,Private room,33,2,182,2019-04-22,2.57,1,148
1337681,Stylish Home in Amazing Location,7254449,Tamsin,,Stoke Bishop,51.47366,-2.63905,Entire home/apt,350,7,14,2018-09-17,0.20,2,293
1371440,Modern 1 Bedroom Flat near Center,2975961,Tony,,Clifton,51.45216,-2.61042,Entire home/apt,76,1,238,2019-05-08,3.37,2,73
1457693,Cosy single room with breakfast,4577089,Rohan,,Eastville,51.47371,-2.54602,Private room,17,20,11,2019-04-14,0.16,2,272
1487240,Lovely Dbl/bdrm- Central Location,4086056,Lilian,,Hotwells & Harbourside,51.45226,-2.60839,Private room,40,1,238,2019-05-12,3.46,2,194
1509615,Amazing location centre of Bristol,7607380,Jerry & Jacqui,,Hotwells & Harbourside,51.44786,-2.60234,Private room,44,1,457,2019-05-16,6.61,2,311
1524396,Woodburner - Sarah's double room.,360195,Sarah,,Windmill Hill,51.43993,-2.59185,Private room,27,1,133,2019-02-24,1.93,5,33
1536968,Blanket Box - Sarah's large Room,360195,Sarah,,Windmill Hill,51.44049,-2.5922,Private room,40,1,93,2019-04-15,2.01,5,4
1586814,"A quiet, modern studio apartment",7102048,Robert,,Ashley,51.46087,-2.58604,Entire home/apt,80,3,38,2018-07-17,0.55,7,314
1608917,Double bedroom in Bristol,8568332,Lynn,,Bishopsworth,51.41606,-2.61838,Private room,22,5,0,,,1,0
1623879,Homestay - Single Room in Bristol,8635028,John,,Henbury & Brentry,51.51255,-2.60012,Private room,22,2,112,2019-04-26,1.63,1,345
1657861,"A private, quiet studio apartment",7102048,Robert,,Ashley,51.46112,-2.58332,Entire home/apt,80,3,40,2017-09-25,0.58,7,45
1772967, Private and peaceful Room ,4176180,Kai,,Lockleaze,51.49725,-2.57119,Private room,35,1,29,2016-09-23,0.45,2,0
1773005,Spacious and peaceful private room,4176180,Kai,,Lockleaze,51.49591,-2.57178,Private room,35,1,27,2018-11-17,0.47,2,82
1906645,"Sunny, stylish home-great location- FREE PARKING!",9487977,Abi,,Cotham,51.46669,-2.59684,Entire home/apt,70,2,28,2019-04-22,0.83,2,77
2006472,Large Double Room Close to Centre,10328734,Patrick,,Southville,51.44483,-2.60435,Private room,31,1,204,2019-05-16,3.14,1,14
2009295,Light/Airy room in victorian house!,10340790,Nadim,,Cotham,51.46999,-2.60549,Private room,34,1,172,2019-05-12,2.70,1,150
2028961,Single room in quiet LGBTQ friendly home,5332833,Ashley,,Eastville,51.48289,-2.55452,Private room,26,2,66,2019-03-23,1.02,2,16
2164660,Lovely light attic room,5905890,Stella,,Easton,51.46988,-2.56336,Private room,30,1,143,2019-01-01,2.33,2,164
2225509,Stokes Croft Crash Pad,10310486,Simon,,Ashley,51.46302,-2.5862,Private room,59,1,151,2019-04-21,2.34,1,365
2235568,A Cool Place in Montpelier !,11413122,Tony,,Ashley,51.46841,-2.58798,Private room,37,2,221,2019-05-03,3.51,3,117
2403979,Entire family home near city centre,12286397,Bo,,Ashley,51.4702,-2.57579,Entire home/apt,150,2,10,2019-05-12,0.16,1,14
2404407,Brooklyn-Style Art Loft With Balcony & Free Prk,11141720,Mike,,Lawrence Hill,51.44403,-2.56864,Entire home/apt,107,1,63,2019-05-03,1.00,7,156
2446524,A home away from home!,12510269,Namrata,,Clifton,51.46097,-2.62344,Private room,45,1,16,2018-07-20,0.79,2,291
2523293,A stay in a home from home! ,12510269,Namrata,,Clifton,51.46098,-2.62405,Private room,32,1,88,2019-05-05,1.45,2,346
2548956,"Huge, bright, spacious double room",13019736,Jody,,Southmead,51.50372,-2.59014,Private room,28,1,198,2019-05-05,7.19,2,72
2636847, 2 double bed flat centre bristol!,7484271,Sammi,,Hotwells & Harbourside,51.45051,-2.60434,Entire home/apt,140,1,12,2014-11-30,0.20,1,0
2681672,Light and cosy double - ensuite,10742048,Delia And Huw,,Westbury-on-Trym & Henleaze,51.48757,-2.59329,Private room,40,1,99,2019-03-08,1.64,1,51
2780689,"Comfortable, light single room",5905890,Stella,,Easton,51.47066,-2.56357,Private room,24,1,225,2019-05-05,3.67,2,51
2793019,Cute Quirky Flat in Prime Location,13804437,Kathleen,,Ashley,51.46545,-2.58329,Entire home/apt,45,2,48,2018-12-24,0.79,1,145
2819807,Small bright room in Clifton,14425470,Nuccia,,Clifton,51.45851,-2.62321,Private room,25,2,247,2019-05-12,4.07,1,55
3015870,Cosy and comfy double room.,15369567,Mary,,Easton,51.46169,-2.55539,Private room,20,1,70,2018-08-17,4.08,1,0
3110479,Charming 1 Bed Flat in Clifton ★ Opposite Lido Spa,13642514,Dani,,Clifton Down,51.46103,-2.61462,Entire home/apt,100,2,94,2019-05-06,1.58,1,208
3127289,Sunny and spacious house,15485474,Fran,,Redland,51.47999,-2.59575,Entire home/apt,85,2,84,2019-04-22,1.39,1,216
3127736,"Characterful, spacious and light",6112011,Mima,,Ashley,51.47004,-2.58222,Entire home/apt,75,2,122,2018-08-20,2.02,1,41
3171080,The Spare Room,3039024,Alice,,Ashley,51.46442,-2.58098,Private room,30,14,1,2015-07-27,0.02,1,215
3228114,"Bristol, Lovely room in great area.",16338731,Tina,,Redland,51.47168,-2.59304,Private room,45,7,43,2019-03-03,0.72,2,144
3254527,Comfortable Bright Single Room  ,16459934,Florence,,Lockleaze,51.49441,-2.57308,Private room,20,1,113,2019-03-22,1.96,1,317
